Iteration 100: Current Loss = 358559.20231527515, T = 0.1781
Iteration 200: Current Loss = 356924.5994965762, T = 0.1586
Iteration 300: Current Loss = 355544.1832367182, T = 0.1491
Iteration 400: Current Loss = 354010.7753766337, T = 0.1430
Iteration 500: Current Loss = 353701.5799778663, T = 0.1386
Iteration 600: Current Loss = 353701.31956475106, T = 0.1352
Iteration 700: Current Loss = 353700.58147372655, T = 0.1324
Iteration 800: Current Loss = 353695.4313190846, T = 0.1301
Iteration 900: Current Loss = 353627.75308837154, T = 0.1281
Iteration 1000: Current Loss = 353280.37275205244, T = 0.1264
Optimization complete. Best Loss: 353280.37275205244 | Best Parameters: [1.85009557e+03 3.37613119e-01 6.41349249e+00]
Iteration 100: Current Loss = 356922.10381800064, T = 0.1781
Iteration 200: Current Loss = 356023.6726637924, T = 0.1586
Iteration 300: Current Loss = 355982.52146725636, T = 0.1491
Iteration 400: Current Loss = 355794.6498809488, T = 0.1430
Iteration 500: Current Loss = 355521.94250128325, T = 0.1386
Iteration 600: Current Loss = 355479.32371902815, T = 0.1352
Iteration 700: Current Loss = 355408.3172447284, T = 0.1324
Iteration 800: Current Loss = 355161.2841559818, T = 0.1301
Iteration 900: Current Loss = 354990.0434935644, T = 0.1281
Iteration 1000: Current Loss = 354930.63150923606, T = 0.1264
Optimization complete. Best Loss: 354930.63150923606 | Best Parameters: [1.85627493e+03 1.54013707e-01 3.73308706e+00]
Iteration 100: Current Loss = 356204.3556310454, T = 0.1781
Iteration 200: Current Loss = 353701.42992249725, T = 0.1586
Iteration 300: Current Loss = 353701.1733681812, T = 0.1491
Iteration 400: Current Loss = 353701.12317541154, T = 0.1430
Iteration 500: Current Loss = 353701.12317541154, T = 0.1386
Iteration 600: Current Loss = 353701.12317541154, T = 0.1352
Iteration 700: Current Loss = 353701.12317541154, T = 0.1324
Iteration 800: Current Loss = 353701.12317541154, T = 0.1301
Iteration 900: Current Loss = 353700.9130676709, T = 0.1281
Iteration 1000: Current Loss = 353698.17525200755, T = 0.1264
Optimization complete. Best Loss: 353698.17525200755 | Best Parameters: [1.85000000e+03 2.10400057e-01 3.14478512e+00]
Iteration 100: Current Loss = 356119.46555936337, T = 0.1781
Iteration 200: Current Loss = 354955.4636275932, T = 0.1586
Iteration 300: Current Loss = 354554.79281107464, T = 0.1491
Iteration 400: Current Loss = 354495.94835020165, T = 0.1430
Iteration 500: Current Loss = 353944.55202689004, T = 0.1386
Iteration 600: Current Loss = 353247.5914702311, T = 0.1352
Iteration 700: Current Loss = 352783.1186321255, T = 0.1324
Iteration 800: Current Loss = 352131.9757619565, T = 0.1301
Iteration 900: Current Loss = 351873.268564421, T = 0.1281
Iteration 1000: Current Loss = 351687.7256965114, T = 0.1264
Optimization complete. Best Loss: 351687.7256965114 | Best Parameters: [1.85000000e+03 9.50447943e-01 1.66707877e+01]
Iteration 100: Current Loss = 355292.8889361912, T = 0.1781
Iteration 200: Current Loss = 353701.12317541154, T = 0.1586
Iteration 300: Current Loss = 353695.5231297309, T = 0.1491
Iteration 400: Current Loss = 353387.78470301453, T = 0.1430
Iteration 500: Current Loss = 352770.2347996534, T = 0.1386
Iteration 600: Current Loss = 352345.7313369863, T = 0.1352
Iteration 700: Current Loss = 352080.72784823267, T = 0.1324
Iteration 800: Current Loss = 351880.17251740914, T = 0.1301
Iteration 900: Current Loss = 351745.93367650383, T = 0.1281
Iteration 1000: Current Loss = 351695.40528971027, T = 0.1264
Optimization complete. Best Loss: 351695.40528971027 | Best Parameters: [1.85000000e+03 8.56419253e-01 1.62410716e+01]
Iteration 100: Current Loss = 355606.07365323836, T = 0.1781
Iteration 200: Current Loss = 355379.30361820397, T = 0.1586
Iteration 300: Current Loss = 355035.7595721596, T = 0.1491
Iteration 400: Current Loss = 354565.76403643936, T = 0.1430
Iteration 500: Current Loss = 354087.00381499494, T = 0.1386
Iteration 600: Current Loss = 353665.8406758124, T = 0.1352
Iteration 700: Current Loss = 353189.2248284093, T = 0.1324
Iteration 800: Current Loss = 352208.2009066943, T = 0.1301
