Iteration 100: Current Loss = 380071.88166745997, T = 0.1781
Iteration 200: Current Loss = 378336.0712592805, T = 0.1586
Iteration 300: Current Loss = 376725.89398762427, T = 0.1491
Iteration 400: Current Loss = 375959.1175018346, T = 0.1430
Iteration 500: Current Loss = 374598.92448550917, T = 0.1386
Iteration 600: Current Loss = 373111.24946866574, T = 0.1352
Iteration 700: Current Loss = 371826.283667088, T = 0.1324
Iteration 800: Current Loss = 369940.58450404153, T = 0.1301
Iteration 900: Current Loss = 368618.5045422335, T = 0.1281
Iteration 1000: Current Loss = 367317.78599293134, T = 0.1264
Optimization complete. Best Loss: 367317.78599293134 | Best Parameters: [1.88644208e+03 1.69256534e+00 2.21066591e-01]
Iteration 100: Current Loss = 378219.75342257676, T = 0.1781
Iteration 200: Current Loss = 377997.77217710664, T = 0.1586
Iteration 300: Current Loss = 377459.67798216466, T = 0.1491
Iteration 400: Current Loss = 377093.3178920326, T = 0.1430
Iteration 500: Current Loss = 376893.80848675605, T = 0.1386
Iteration 600: Current Loss = 376425.968810094, T = 0.1352
Iteration 700: Current Loss = 375621.4540615116, T = 0.1324
Iteration 800: Current Loss = 374566.6498265823, T = 0.1301
Iteration 900: Current Loss = 372897.6637733677, T = 0.1281
Iteration 1000: Current Loss = 370926.09623507166, T = 0.1264
Optimization complete. Best Loss: 370926.09623507166 | Best Parameters: [1.89698169e+03 7.75679721e-01 8.98066432e+00]
Iteration 100: Current Loss = 377142.4269796856, T = 0.1781
Iteration 200: Current Loss = 377095.5243666219, T = 0.1586
Iteration 300: Current Loss = 376985.4873484887, T = 0.1491
Iteration 400: Current Loss = 375750.77042039024, T = 0.1430
Iteration 500: Current Loss = 374246.6119052039, T = 0.1386
Iteration 600: Current Loss = 372437.56649189896, T = 0.1352
Iteration 700: Current Loss = 370757.5219369099, T = 0.1324
Iteration 800: Current Loss = 368280.06525386364, T = 0.1301
Iteration 900: Current Loss = 366243.40761336556, T = 0.1281
Iteration 1000: Current Loss = 364650.53970909916, T = 0.1264
Optimization complete. Best Loss: 364650.53970909916 | Best Parameters: [1.88051067e+03 5.06949736e-01 8.49197252e+00]
Iteration 100: Current Loss = 377312.1383012686, T = 0.1781
Iteration 200: Current Loss = 376821.9339117836, T = 0.1586
Iteration 300: Current Loss = 376523.7729446061, T = 0.1491
Iteration 400: Current Loss = 375773.957363057, T = 0.1430
Iteration 500: Current Loss = 374502.65653002344, T = 0.1386
Iteration 600: Current Loss = 370837.978071691, T = 0.1352
Iteration 700: Current Loss = 366985.2389813048, T = 0.1324
Iteration 800: Current Loss = 365835.57819710637, T = 0.1301
Iteration 900: Current Loss = 362149.45198333956, T = 0.1281
Iteration 1000: Current Loss = 359788.8060361299, T = 0.1264
Optimization complete. Best Loss: 359788.8060361299 | Best Parameters: [1.86826709e+03 8.14667576e-01 1.27129113e+01]
Iteration 100: Current Loss = 377501.7763861825, T = 0.1781
Iteration 200: Current Loss = 371603.2484726872, T = 0.1586
Iteration 300: Current Loss = 366587.3074763446, T = 0.1491
Iteration 400: Current Loss = 361258.5688710656, T = 0.1430
Iteration 500: Current Loss = 358250.0933494992, T = 0.1386
Iteration 600: Current Loss = 357494.03410044045, T = 0.1352
Iteration 700: Current Loss = 356479.3430080352, T = 0.1324
Iteration 800: Current Loss = 354882.78111249674, T = 0.1301
Iteration 900: Current Loss = 353972.8002324204, T = 0.1281
Iteration 1000: Current Loss = 352080.5831358149, T = 0.1264
Optimization complete. Best Loss: 352080.5831358149 | Best Parameters: [1.85057684e+03 7.20019792e-01 1.36838628e+01]
Iteration 100: Current Loss = 376522.73160104017, T = 0.1781
Iteration 200: Current Loss = 371621.2299721468, T = 0.1586
Iteration 300: Current Loss = 367552.4038735148, T = 0.1491
Iteration 400: Current Loss = 365772.2900315426, T = 0.1430
Iteration 500: Current Loss = 362305.9230023301, T = 0.1386
Iteration 600: Current Loss = 359970.2317730755, T = 0.1352
Iteration 700: Current Loss = 358188.5675430443, T = 0.1324
Iteration 800: Current Loss = 356931.6717304054, T = 0.1301
Iteration 900: Current Loss = 356563.9439539159, T = 0.1281
Iteration 1000: Current Loss = 354947.3985213691, T = 0.1264
Optimization complete. Best Loss: 354947.3985213691 | Best Parameters: [1.85670201e+03 5.36850062e-01 9.05992633e+00]
Iteration 100: Current Loss = 378147.6730844009, T = 0.1781
Iteration 200: Current Loss = 375425.69153773336, T = 0.1586
Iteration 300: Current Loss = 373145.2627136939, T = 0.1491
Iteration 400: Current Loss = 369096.8958627923, T = 0.1430
Iteration 500: Current Loss = 364569.9099964526, T = 0.1386
Iteration 600: Current Loss = 361445.61688228586, T = 0.1352
Iteration 700: Current Loss = 355826.9799768996, T = 0.1324
Iteration 800: Current Loss = 354297.6449679515, T = 0.1301
Iteration 900: Current Loss = 352736.1466193166, T = 0.1281
Iteration 1000: Current Loss = 351590.6253649222, T = 0.1264
Optimization complete. Best Loss: 351590.6253649222 | Best Parameters: [1.85000000e+03 1.03923225e+00 1.89731336e+01]
Iteration 100: Current Loss = 377464.4348437857, T = 0.1781
Iteration 200: Current Loss = 370639.5714526626, T = 0.1586
Iteration 300: Current Loss = 365699.93376128544, T = 0.1491
Iteration 400: Current Loss = 359051.2859885959, T = 0.1430
Iteration 500: Current Loss = 358558.47343546513, T = 0.1386
Iteration 600: Current Loss = 356641.109512913, T = 0.1352
Iteration 700: Current Loss = 355343.19010901265, T = 0.1324
Iteration 800: Current Loss = 353935.04913300765, T = 0.1301
Iteration 900: Current Loss = 353585.58740593103, T = 0.1281
Iteration 1000: Current Loss = 352583.3068885601, T = 0.1264
Optimization complete. Best Loss: 352583.3068885601 | Best Parameters: [1.85000000e+03 4.74505373e-01 9.33291244e+00]
Iteration 100: Current Loss = 373064.1318610281, T = 0.1781
Iteration 200: Current Loss = 368259.80713027314, T = 0.1586
Iteration 300: Current Loss = 362389.9014282562, T = 0.1491
Iteration 400: Current Loss = 357537.13535338274, T = 0.1430
Iteration 500: Current Loss = 356607.42623894464, T = 0.1386
Iteration 600: Current Loss = 355695.6781052933, T = 0.1352
Iteration 700: Current Loss = 354481.2846462461, T = 0.1324
Iteration 800: Current Loss = 353326.9718721796, T = 0.1301
Iteration 900: Current Loss = 352728.9524127967, T = 0.1281
Iteration 1000: Current Loss = 352128.39969104284, T = 0.1264
Optimization complete. Best Loss: 352128.39969104284 | Best Parameters: [1.85000000e+03 6.88320241e-01 1.21086909e+01]
Iteration 100: Current Loss = 375885.2929091966, T = 0.1781
Iteration 200: Current Loss = 374494.9794082469, T = 0.1586
Iteration 300: Current Loss = 369844.6262770409, T = 0.1491
Iteration 400: Current Loss = 367057.051271997, T = 0.1430
Iteration 500: Current Loss = 362059.3286359619, T = 0.1386
Iteration 600: Current Loss = 357710.8921139643, T = 0.1352
Iteration 700: Current Loss = 354578.9355040325, T = 0.1324
Iteration 800: Current Loss = 352505.9982312743, T = 0.1301
Iteration 900: Current Loss = 351568.51210202643, T = 0.1281
Iteration 1000: Current Loss = 351568.51210202643, T = 0.1264
Optimization complete. Best Loss: 351568.51210202643 | Best Parameters: [1.85000000e+03 1.11456964e+00 2.00000000e+01]
Iteration 100: Current Loss = 375151.60653446324, T = 0.1781
Iteration 200: Current Loss = 370911.66368722747, T = 0.1586
Iteration 300: Current Loss = 364385.68348653056, T = 0.1491
Iteration 400: Current Loss = 358677.22035727435, T = 0.1430
Iteration 500: Current Loss = 357534.7428196722, T = 0.1386
Iteration 600: Current Loss = 357109.7256058, T = 0.1352
Iteration 700: Current Loss = 355866.6139347968, T = 0.1324
Iteration 800: Current Loss = 354608.94120462175, T = 0.1301
