Starting optimization...
Initial parameters: [1.87590000e+03 6.78947368e-01 7.36842105e+00]
Sigma: 0.0379269019073225, Iterations: 100000
Initial loss: 14611.779914535666
Iteration 1000: Loss = 13164.044419122256
Iteration 2000: Loss = 10308.089945464912
Iteration 3000: Loss = 9963.100385151578
Iteration 4000: Loss = 9283.691866511537
Iteration 5000: Loss = 8795.331455809523
Iteration 6000: Loss = 8403.736288995335
Iteration 7000: Loss = 8220.419388346427
Iteration 8000: Loss = 8086.003398614115
Iteration 9000: Loss = 7968.786522580973
Iteration 10000: Loss = 7902.439991349261
Iteration 11000: Loss = 7826.14678125171
Iteration 12000: Loss = 7766.945789416768
Iteration 13000: Loss = 7713.814233073994
Iteration 14000: Loss = 7665.570833687203
Iteration 15000: Loss = 7609.33667515167
Iteration 16000: Loss = 7560.029504871403
Iteration 17000: Loss = 7506.235656518169
Iteration 18000: Loss = 7457.3487983205005
Iteration 19000: Loss = 7398.729104877969
Iteration 20000: Loss = 7331.765032263991
Iteration 21000: Loss = 7276.124595709745
Iteration 22000: Loss = 7225.244837589643
Iteration 23000: Loss = 7172.314364366528
Iteration 24000: Loss = 7105.518523678333
Iteration 25000: Loss = 7041.785789333191
Iteration 26000: Loss = 6977.011819436835
Iteration 27000: Loss = 6908.525364445757
Iteration 28000: Loss = 6845.828648313652
Iteration 29000: Loss = 6782.046432663232
Iteration 30000: Loss = 6719.410018834779
Iteration 31000: Loss = 6658.548939937724
Iteration 32000: Loss = 6593.8344361985955
Iteration 33000: Loss = 6533.717246741411
Iteration 34000: Loss = 6483.3111429807295
Iteration 35000: Loss = 6434.04187850052
Iteration 36000: Loss = 6386.6792946392125
Iteration 37000: Loss = 6334.104597213549
Iteration 38000: Loss = 6290.809700786871
Iteration 39000: Loss = 6252.70322357497
Iteration 40000: Loss = 6209.417462934831
Iteration 41000: Loss = 6170.58006223693
Iteration 42000: Loss = 6128.055354692514
Iteration 43000: Loss = 6088.384663483536
Iteration 44000: Loss = 6052.900919282233
Iteration 45000: Loss = 6021.092624944751
Iteration 46000: Loss = 5992.8769573324425
Iteration 47000: Loss = 5966.550405075685
Iteration 48000: Loss = 5943.857618021141
Iteration 49000: Loss = 5920.870305869228
Iteration 50000: Loss = 5902.535624401651
Iteration 51000: Loss = 5880.076671394876
Iteration 52000: Loss = 5861.365756353195
Iteration 53000: Loss = 5844.591499153075
Iteration 54000: Loss = 5828.996420629001
Iteration 55000: Loss = 5813.7465551972455
Iteration 56000: Loss = 5799.281471243531
Iteration 57000: Loss = 5786.6029496709925
Iteration 58000: Loss = 5776.069828755536
Iteration 59000: Loss = 5765.269621069767
Iteration 60000: Loss = 5758.0305445871045
Iteration 61000: Loss = 5748.237882018272
Iteration 62000: Loss = 5740.167022785949
Iteration 63000: Loss = 5733.063472164012
Iteration 64000: Loss = 5727.011303058126
Iteration 65000: Loss = 5719.978214669355
Iteration 66000: Loss = 5713.346006576385
Iteration 67000: Loss = 5708.070752651242
Iteration 68000: Loss = 5703.682238011732
Iteration 69000: Loss = 5699.814208674677
Iteration 70000: Loss = 5695.890494978895
Iteration 71000: Loss = 5691.320254071688
Iteration 72000: Loss = 5687.766025442922
Iteration 73000: Loss = 5685.453784860767
Iteration 74000: Loss = 5682.1746280624
Iteration 75000: Loss = 5678.791358181189
Iteration 76000: Loss = 5677.000595204056
Iteration 77000: Loss = 5675.769910656975
Iteration 78000: Loss = 5674.036848896871
Iteration 79000: Loss = 5672.245215866906
Iteration 80000: Loss = 5670.616023031071
Iteration 81000: Loss = 5669.416611541327
Iteration 82000: Loss = 5668.0486129261035
Iteration 83000: Loss = 5667.043941190353
Iteration 84000: Loss = 5666.34765502417
Iteration 85000: Loss = 5665.620030037519
Iteration 86000: Loss = 5664.696242325848
Iteration 87000: Loss = 5663.97992127221
Iteration 88000: Loss = 5663.390087135641
Iteration 89000: Loss = 5662.900726899873
Iteration 90000: Loss = 5662.567913649124
Iteration 91000: Loss = 5662.202492131002
Iteration 92000: Loss = 5661.865975784507
Iteration 93000: Loss = 5661.640213001863
Iteration 94000: Loss = 5661.493185185361
Iteration 95000: Loss = 5661.286748340045
Iteration 96000: Loss = 5661.223091733069
Iteration 97000: Loss = 5661.104103844296
Iteration 98000: Loss = 5661.016417631257
Iteration 99000: Loss = 5660.981612227257
Iteration 100000: Loss = 5660.914849588905
Best loss: 5660.914849588905 | Parameters: [210.9250534   15.26801404 755.26540793]
Optimization complete.
Optimized parameters: [210.9250534   15.26801404 755.26540793]
