Starting optimization...
Initial parameters: [1.93590000e+03 3.84210526e-01 6.94736842e+00]
Sigma: 0.004281332398719396, Iterations: 100000
Initial loss: 14243.673320943517
Iteration 1000: Loss = 12489.388742900595
Iteration 2000: Loss = 12168.921616142141
Iteration 3000: Loss = 11814.929607059372
Iteration 4000: Loss = 11612.06247876565
Iteration 5000: Loss = 11433.006219713488
Iteration 6000: Loss = 11246.656102083058
Iteration 7000: Loss = 11063.71639569534
Iteration 8000: Loss = 10896.789354049903
Iteration 9000: Loss = 10724.62555322135
Iteration 10000: Loss = 10578.707486036
Iteration 11000: Loss = 10449.404287008096
Iteration 12000: Loss = 10270.969012303269
Iteration 13000: Loss = 10078.526373250332
Iteration 14000: Loss = 9861.56005745382
Iteration 15000: Loss = 9558.28217714374
Iteration 16000: Loss = 9219.37194682258
Iteration 17000: Loss = 8886.782474317912
Iteration 18000: Loss = 8646.499987996052
Iteration 19000: Loss = 8473.83132776758
Iteration 20000: Loss = 8329.079961582946
Iteration 21000: Loss = 8226.011620124696
Iteration 22000: Loss = 8146.44646411426
Iteration 23000: Loss = 8070.533404348947
Iteration 24000: Loss = 8006.716585511331
Iteration 25000: Loss = 7962.074365659129
Iteration 26000: Loss = 7917.383643747598
Iteration 27000: Loss = 7875.74585967448
Iteration 28000: Loss = 7841.168676937226
Iteration 29000: Loss = 7809.875315933083
Iteration 30000: Loss = 7774.871374914882
Iteration 31000: Loss = 7744.131379073055
Iteration 32000: Loss = 7710.976271042646
Iteration 33000: Loss = 7680.315198297585
Iteration 34000: Loss = 7650.651295711765
Iteration 35000: Loss = 7621.9568197631
Iteration 36000: Loss = 7591.962948808831
Iteration 37000: Loss = 7562.266879592959
Iteration 38000: Loss = 7531.011564844037
Iteration 39000: Loss = 7503.912599120267
Iteration 40000: Loss = 7476.166599731385
Iteration 41000: Loss = 7449.2786671015165
Iteration 42000: Loss = 7422.099255459158
Iteration 43000: Loss = 7390.893365644704
Iteration 44000: Loss = 7362.649792397597
Iteration 45000: Loss = 7334.861625671627
Iteration 46000: Loss = 7305.5020279587625
Iteration 47000: Loss = 7280.039439963823
Iteration 48000: Loss = 7249.093867810141
Iteration 49000: Loss = 7220.076298399466
Iteration 50000: Loss = 7195.851131863494
Iteration 51000: Loss = 7164.092839486946
Iteration 52000: Loss = 7136.24121114831
Iteration 53000: Loss = 7108.084198344004
Iteration 54000: Loss = 7075.527861844314
Iteration 55000: Loss = 7044.614820461113
Iteration 56000: Loss = 7013.550113468458
Iteration 57000: Loss = 6983.369912100739
Iteration 58000: Loss = 6952.67685838507
Iteration 59000: Loss = 6921.179036220702
Iteration 60000: Loss = 6889.006794983033
Iteration 61000: Loss = 6858.112988324801
Iteration 62000: Loss = 6828.505128591261
Iteration 63000: Loss = 6796.226553772278
Iteration 64000: Loss = 6769.098770494666
Iteration 65000: Loss = 6740.584952646315
Iteration 66000: Loss = 6712.553715363724
Iteration 67000: Loss = 6683.77254956382
Iteration 68000: Loss = 6655.210189162713
Iteration 69000: Loss = 6625.778163580946
Iteration 70000: Loss = 6600.219882923405
Iteration 71000: Loss = 6574.6580188584585
Iteration 72000: Loss = 6547.916841404469
Iteration 73000: Loss = 6519.313410300553
Iteration 74000: Loss = 6490.42929830066
Iteration 75000: Loss = 6466.436823218532
Iteration 76000: Loss = 6440.046747006751
Iteration 77000: Loss = 6414.160724840975
Iteration 78000: Loss = 6392.0547498017
Iteration 79000: Loss = 6366.69455249659
Iteration 80000: Loss = 6343.360523673861
Iteration 81000: Loss = 6320.559000078027
Iteration 82000: Loss = 6297.564419102128
Iteration 83000: Loss = 6278.024077179618
Iteration 84000: Loss = 6255.856904698112
Iteration 85000: Loss = 6235.696364317716
Iteration 86000: Loss = 6212.747955055295
Iteration 87000: Loss = 6191.769312371275
Iteration 88000: Loss = 6170.802992960664
Iteration 89000: Loss = 6150.972825617887
Iteration 90000: Loss = 6130.506209005744
Iteration 91000: Loss = 6111.55751760994
Iteration 92000: Loss = 6096.254518571288
Iteration 93000: Loss = 6079.052238904747
Iteration 94000: Loss = 6064.245552557347
Iteration 95000: Loss = 6047.670465844441
Iteration 96000: Loss = 6031.200343609686
Iteration 97000: Loss = 6014.929504774685
Iteration 98000: Loss = 6002.692896329305
Iteration 99000: Loss = 5989.879042601962
Iteration 100000: Loss = 5976.047884488629
Best loss: 5976.047884488629 | Parameters: [782.43792519  26.21781597 636.23083014]
Optimization complete.
Optimized parameters: [782.43792519  26.21781597 636.23083014]
