Iteration 100: Current Loss = 371808.0485614535, T = 0.1781
Iteration 200: Current Loss = 370588.30617985164, T = 0.1586
Iteration 300: Current Loss = 368937.2198561881, T = 0.1491
Iteration 400: Current Loss = 367666.2658248899, T = 0.1430
Iteration 500: Current Loss = 366278.7392061586, T = 0.1386
Iteration 600: Current Loss = 364574.54766693595, T = 0.1352
Iteration 700: Current Loss = 364320.2672113162, T = 0.1324
Iteration 800: Current Loss = 363940.5834053073, T = 0.1301
Iteration 900: Current Loss = 363489.9009197137, T = 0.1281
Iteration 1000: Current Loss = 362967.37542356877, T = 0.1264
Optimization complete. Best Loss: 362967.37542356877 | Best Parameters: [1.87584832e+03 3.70282271e-01 5.51411362e+00]
Iteration 100: Current Loss = 369493.8535170444, T = 0.1781
Iteration 200: Current Loss = 367100.838237732, T = 0.1586
Iteration 300: Current Loss = 365465.86882601137, T = 0.1491
Iteration 400: Current Loss = 362164.4656246802, T = 0.1430
Iteration 500: Current Loss = 360182.1452148654, T = 0.1386
Iteration 600: Current Loss = 359861.38474015973, T = 0.1352
Iteration 700: Current Loss = 359853.41377902305, T = 0.1324
Iteration 800: Current Loss = 359621.55713377846, T = 0.1301
Iteration 900: Current Loss = 359413.3791920624, T = 0.1281
Iteration 1000: Current Loss = 359413.3791920624, T = 0.1264
Optimization complete. Best Loss: 359413.3791920624 | Best Parameters: [1.86834458e+03 7.55738194e-02 2.21663618e+00]
Iteration 100: Current Loss = 369902.8501796166, T = 0.1781
Iteration 200: Current Loss = 368967.7623216798, T = 0.1586
Iteration 300: Current Loss = 368481.9397888491, T = 0.1491
Iteration 400: Current Loss = 368249.03258715826, T = 0.1430
Iteration 500: Current Loss = 367989.2725679798, T = 0.1386
Iteration 600: Current Loss = 367186.43759918516, T = 0.1352
Iteration 700: Current Loss = 366390.0820356671, T = 0.1324
Iteration 800: Current Loss = 365588.508102661, T = 0.1301
Iteration 900: Current Loss = 362439.66919369885, T = 0.1281
Iteration 1000: Current Loss = 359965.29475795856, T = 0.1264
Optimization complete. Best Loss: 359965.29475795856 | Best Parameters: [1.86825107e+03 5.69086157e-01 8.77964418e+00]
Iteration 100: Current Loss = 369733.11798258574, T = 0.1781
Iteration 200: Current Loss = 365142.96863539726, T = 0.1586
