Iteration 100: Current Loss = 367056.01875080547, T = 0.1781
Iteration 200: Current Loss = 365635.8633353723, T = 0.1586
Iteration 300: Current Loss = 364096.3581808484, T = 0.1491
Iteration 400: Current Loss = 362954.8591333128, T = 0.1430
Iteration 500: Current Loss = 361808.3087086939, T = 0.1386
Iteration 600: Current Loss = 361080.3033168755, T = 0.1352
Iteration 700: Current Loss = 360808.1619035177, T = 0.1324
Iteration 800: Current Loss = 359959.4344161967, T = 0.1301
Iteration 900: Current Loss = 359878.24047124066, T = 0.1281
Iteration 1000: Current Loss = 359832.3048027305, T = 0.1264
Optimization complete. Best Loss: 359832.3048027305 | Best Parameters: [1.86935630e+03 7.08628825e-02 1.93709940e+00]
Iteration 100: Current Loss = 366332.74320706545, T = 0.1781
Iteration 200: Current Loss = 363688.2478934928, T = 0.1586
Iteration 300: Current Loss = 360780.083757851, T = 0.1491
Iteration 400: Current Loss = 359321.9332876075, T = 0.1430
Iteration 500: Current Loss = 359152.3529745528, T = 0.1386
Iteration 600: Current Loss = 358974.6057608632, T = 0.1352
Iteration 700: Current Loss = 358852.43488386966, T = 0.1324
Iteration 800: Current Loss = 358603.2136353818, T = 0.1301
Iteration 900: Current Loss = 358423.2694524097, T = 0.1281
Iteration 1000: Current Loss = 358244.7315260167, T = 0.1264
Optimization complete. Best Loss: 358244.7315260167 | Best Parameters: [1.86581107e+03 2.13053927e-01 4.72381352e+00]
Iteration 100: Current Loss = 364513.6692969123, T = 0.1781
Iteration 200: Current Loss = 361049.5440119413, T = 0.1586
Iteration 300: Current Loss = 359853.16103415017, T = 0.1491
Iteration 400: Current Loss = 359489.5770195527, T = 0.1430
Iteration 500: Current Loss = 359489.5770195527, T = 0.1386
Iteration 600: Current Loss = 359301.81931927544, T = 0.1352
Iteration 700: Current Loss = 359195.36957269855, T = 0.1324
Iteration 800: Current Loss = 359078.1726190049, T = 0.1301
Iteration 900: Current Loss = 359059.85419219587, T = 0.1281
Iteration 1000: Current Loss = 358936.6548255921, T = 0.1264
Optimization complete. Best Loss: 358936.6548255921 | Best Parameters: [1.86746349e+03 1.11857929e-01 2.99839438e+00]
Iteration 100: Current Loss = 363584.28391095606, T = 0.1781
Iteration 200: Current Loss = 359859.90295509255, T = 0.1586
Iteration 300: Current Loss = 359614.2106075254, T = 0.1491
Iteration 400: Current Loss = 359521.71294367703, T = 0.1430
Iteration 500: Current Loss = 359123.9472149512, T = 0.1386
Iteration 600: Current Loss = 358816.88727900165, T = 0.1352
Iteration 700: Current Loss = 358619.834170173, T = 0.1324
Iteration 800: Current Loss = 357930.06973661826, T = 0.1301
Iteration 900: Current Loss = 356771.84793792566, T = 0.1281
Iteration 1000: Current Loss = 355592.756059702, T = 0.1264
Optimization complete. Best Loss: 355592.756059702 | Best Parameters: [1.85850714e+03 5.17374118e-01 9.32229746e+00]
Iteration 100: Current Loss = 363862.8167476577, T = 0.1781
Iteration 200: Current Loss = 359907.50683346, T = 0.1586
Iteration 300: Current Loss = 359674.25614498823, T = 0.1491
Iteration 400: Current Loss = 359416.2253386823, T = 0.1430
Iteration 500: Current Loss = 359267.6925397963, T = 0.1386
Iteration 600: Current Loss = 358687.37414847413, T = 0.1352
Iteration 700: Current Loss = 358687.37414847413, T = 0.1324
Iteration 800: Current Loss = 358687.37414847413, T = 0.1301
Iteration 900: Current Loss = 358585.9177282842, T = 0.1281
Iteration 1000: Current Loss = 358430.4327035531, T = 0.1264
Optimization complete. Best Loss: 358430.4327035531 | Best Parameters: [1.86649122e+03 1.98889481e-01 4.61537525e+00]
Iteration 100: Current Loss = 362166.1417611825, T = 0.1781
Iteration 200: Current Loss = 356837.5300370615, T = 0.1586
Iteration 300: Current Loss = 353331.8814952516, T = 0.1491
Iteration 400: Current Loss = 352820.4589583741, T = 0.1430
Iteration 500: Current Loss = 352216.5293482144, T = 0.1386
Iteration 600: Current Loss = 351945.9158967043, T = 0.1352
Iteration 700: Current Loss = 351912.8254635941, T = 0.1324
Iteration 800: Current Loss = 351727.043563586, T = 0.1301
Iteration 900: Current Loss = 351657.6229050162, T = 0.1281
Iteration 1000: Current Loss = 351655.60675766686, T = 0.1264
Optimization complete. Best Loss: 351655.60675766686 | Best Parameters: [1.85000000e+03 1.01248911e+00 1.75282938e+01]
Iteration 100: Current Loss = 362949.9170379335, T = 0.1781
Iteration 200: Current Loss = 359657.7325090288, T = 0.1586
Iteration 300: Current Loss = 359302.974361618, T = 0.1491
