Iteration 100: Current Loss = 358608.58295381686, T = 0.1781
Iteration 200: Current Loss = 357420.11544416496, T = 0.1586
Iteration 300: Current Loss = 355791.51500604633, T = 0.1491
Iteration 400: Current Loss = 354216.19230212044, T = 0.1430
Iteration 500: Current Loss = 353701.19059022976, T = 0.1386
Iteration 600: Current Loss = 353701.14983855514, T = 0.1352
Iteration 700: Current Loss = 353701.12521414197, T = 0.1324
Iteration 800: Current Loss = 353701.1246609984, T = 0.1301
Iteration 900: Current Loss = 353701.12317541154, T = 0.1281
Iteration 1000: Current Loss = 353701.12317541154, T = 0.1264
Optimization complete. Best Loss: 353701.12317541154 | Best Parameters: [1.85e+03 5.00e-02 5.00e-02]
Iteration 100: Current Loss = 356961.67059256753, T = 0.1781
Iteration 200: Current Loss = 356116.9432144052, T = 0.1586
Iteration 300: Current Loss = 355760.9698046811, T = 0.1491
Iteration 400: Current Loss = 355282.69232650026, T = 0.1430
Iteration 500: Current Loss = 354752.28899304225, T = 0.1386
Iteration 600: Current Loss = 354739.57066721254, T = 0.1352
Iteration 700: Current Loss = 354454.3861631335, T = 0.1324
Iteration 800: Current Loss = 354238.6156536003, T = 0.1301
Iteration 900: Current Loss = 353835.32876623183, T = 0.1281
Iteration 1000: Current Loss = 353395.8842794398, T = 0.1264
Optimization complete. Best Loss: 353395.8842794398 | Best Parameters: [1.85192147e+03 3.92908937e-01 7.28541061e+00]
Iteration 100: Current Loss = 355768.29953396413, T = 0.1781
Iteration 200: Current Loss = 353701.17083364504, T = 0.1586
Iteration 300: Current Loss = 353701.12317541154, T = 0.1491
Iteration 400: Current Loss = 353701.12317541154, T = 0.1430
Iteration 500: Current Loss = 353701.12317541154, T = 0.1386
Iteration 600: Current Loss = 353701.12317541154, T = 0.1352
Iteration 700: Current Loss = 353701.12317541154, T = 0.1324
Iteration 800: Current Loss = 353701.12317541154, T = 0.1301
Iteration 900: Current Loss = 353701.12317541154, T = 0.1281
Iteration 1000: Current Loss = 353701.12317541154, T = 0.1264
Optimization complete. Best Loss: 353701.12317541154 | Best Parameters: [1.85e+03 5.00e-02 5.00e-02]
Iteration 100: Current Loss = 356733.736776486, T = 0.1781
Iteration 200: Current Loss = 355049.49107531895, T = 0.1586
Iteration 300: Current Loss = 354745.176405727, T = 0.1491
Iteration 400: Current Loss = 354745.176405727, T = 0.1430
Iteration 500: Current Loss = 354592.93051166256, T = 0.1386
Iteration 600: Current Loss = 353744.57162869733, T = 0.1352
Iteration 700: Current Loss = 353424.29212403967, T = 0.1324
Iteration 800: Current Loss = 352862.5677003214, T = 0.1301
Iteration 900: Current Loss = 352629.0596821674, T = 0.1281
Iteration 1000: Current Loss = 352246.67078660766, T = 0.1264
Optimization complete. Best Loss: 352246.67078660766 | Best Parameters: [1.85002407e+03 6.17198906e-01 1.12449011e+01]
Iteration 100: Current Loss = 355739.87226351997, T = 0.1781
Iteration 200: Current Loss = 355436.229169875, T = 0.1586
Iteration 300: Current Loss = 354799.21660369536, T = 0.1491
Iteration 400: Current Loss = 353926.71812810225, T = 0.1430
Iteration 500: Current Loss = 353188.8868408925, T = 0.1386
Iteration 600: Current Loss = 352765.72191515967, T = 0.1352
Iteration 700: Current Loss = 352487.33480739605, T = 0.1324
Iteration 800: Current Loss = 352198.6173701486, T = 0.1301
Iteration 900: Current Loss = 351868.9213126892, T = 0.1281
Iteration 1000: Current Loss = 351717.5910647063, T = 0.1264
Optimization complete. Best Loss: 351717.5910647063 | Best Parameters: [1.85000000e+03 8.39374856e-01 1.58076157e+01]
Iteration 100: Current Loss = 355582.5823037026, T = 0.1781
Iteration 200: Current Loss = 353701.31613110413, T = 0.1586
Iteration 300: Current Loss = 353701.12634683226, T = 0.1491
Iteration 400: Current Loss = 353144.57563047844, T = 0.1430
Iteration 500: Current Loss = 352517.8832855971, T = 0.1386
Iteration 600: Current Loss = 352248.28141456755, T = 0.1352
Iteration 700: Current Loss = 351995.87377648347, T = 0.1324
Iteration 800: Current Loss = 351778.7111577047, T = 0.1301
Iteration 900: Current Loss = 351745.41787821765, T = 0.1281
Iteration 1000: Current Loss = 351697.1560772978, T = 0.1264
Optimization complete. Best Loss: 351697.1560772978 | Best Parameters: [1.85000000e+03 8.60097317e-01 1.61498395e+01]
Iteration 100: Current Loss = 355179.24187004095, T = 0.1781
Iteration 200: Current Loss = 354537.07613621146, T = 0.1586
Iteration 300: Current Loss = 353148.37820013036, T = 0.1491
Iteration 400: Current Loss = 352648.04244688293, T = 0.1430
Iteration 500: Current Loss = 352310.6491995364, T = 0.1386
Iteration 600: Current Loss = 352148.0703544916, T = 0.1352
Iteration 700: Current Loss = 351945.0720969609, T = 0.1324
Iteration 800: Current Loss = 351793.90981352405, T = 0.1301
Iteration 900: Current Loss = 351749.7708549343, T = 0.1281
Iteration 1000: Current Loss = 351719.0341674877, T = 0.1264
Optimization complete. Best Loss: 351719.0341674877 | Best Parameters: [1.85000000e+03 8.27796050e-01 1.59761917e+01]
Iteration 100: Current Loss = 356120.99463311717, T = 0.1781
Iteration 200: Current Loss = 353701.1271897583, T = 0.1586
Iteration 300: Current Loss = 353701.12317541154, T = 0.1491
Iteration 400: Current Loss = 353701.12317541154, T = 0.1430
Iteration 500: Current Loss = 353701.12317541154, T = 0.1386
Iteration 600: Current Loss = 353701.12317541154, T = 0.1352
Iteration 700: Current Loss = 353701.12317541154, T = 0.1324
Iteration 800: Current Loss = 353701.12317541154, T = 0.1301
Iteration 900: Current Loss = 353381.4654752992, T = 0.1281
Iteration 1000: Current Loss = 352708.9185568154, T = 0.1264
Optimization complete. Best Loss: 352708.9185568154 | Best Parameters: [1.85000564e+03 5.49137952e-01 8.94001866e+00]
Iteration 100: Current Loss = 355861.82110766333, T = 0.1781
Iteration 200: Current Loss = 355861.82110766333, T = 0.1586
Iteration 300: Current Loss = 355709.185421319, T = 0.1491
Iteration 400: Current Loss = 355178.8889612078, T = 0.1430
Iteration 500: Current Loss = 354455.46950347925, T = 0.1386
Iteration 600: Current Loss = 354055.44922894007, T = 0.1352
Iteration 700: Current Loss = 353195.9378292893, T = 0.1324
Iteration 800: Current Loss = 352500.0716635458, T = 0.1301
Iteration 900: Current Loss = 352119.0389020521, T = 0.1281
Iteration 1000: Current Loss = 351906.048273973, T = 0.1264
Optimization complete. Best Loss: 351906.048273973 | Best Parameters: [1.85000000e+03 6.96039504e-01 1.38070074e+01]
Iteration 100: Current Loss = 353701.12317541154, T = 0.1781
Iteration 200: Current Loss = 353701.12317541154, T = 0.1586
Iteration 300: Current Loss = 353701.12317541154, T = 0.1491
Iteration 400: Current Loss = 353701.12317541154, T = 0.1430
Iteration 500: Current Loss = 353701.12317541154, T = 0.1386
Iteration 600: Current Loss = 353701.12317541154, T = 0.1352
Iteration 700: Current Loss = 353701.12317541154, T = 0.1324
Iteration 800: Current Loss = 353701.12317541154, T = 0.1301
Iteration 900: Current Loss = 353346.6255623546, T = 0.1281
Iteration 1000: Current Loss = 353175.97625969275, T = 0.1264
