Iteration 100: Current Loss = 363637.3125825634, T = 0.1781
Iteration 200: Current Loss = 362103.5184468059, T = 0.1586
Iteration 300: Current Loss = 361136.8727678595, T = 0.1491
Iteration 400: Current Loss = 360242.341244109, T = 0.1430
Iteration 500: Current Loss = 359874.6952076553, T = 0.1386
Iteration 600: Current Loss = 359514.01451111404, T = 0.1352
Iteration 700: Current Loss = 359363.510837785, T = 0.1324
Iteration 800: Current Loss = 359228.508180855, T = 0.1301
Iteration 900: Current Loss = 358971.77065409254, T = 0.1281
Iteration 1000: Current Loss = 358857.9957446193, T = 0.1264
Optimization complete. Best Loss: 358857.9957446193 | Best Parameters: [1.86752390e+03 1.25794430e-01 3.22136033e+00]
Iteration 100: Current Loss = 361524.6791983678, T = 0.1781
Iteration 200: Current Loss = 359853.4429595476, T = 0.1586
Iteration 300: Current Loss = 359658.96724106494, T = 0.1491
Iteration 400: Current Loss = 359436.1675401233, T = 0.1430
Iteration 500: Current Loss = 358977.78080163436, T = 0.1386
Iteration 600: Current Loss = 358958.5813037801, T = 0.1352
Iteration 700: Current Loss = 358929.7270619748, T = 0.1324
Iteration 800: Current Loss = 358816.46425100364, T = 0.1301
Iteration 900: Current Loss = 358665.0381151571, T = 0.1281
Iteration 1000: Current Loss = 358355.87860954634, T = 0.1264
Optimization complete. Best Loss: 358355.87860954634 | Best Parameters: [1.86603397e+03 1.85028301e-01 4.32833000e+00]
Iteration 100: Current Loss = 361186.61722426565, T = 0.1781
Iteration 200: Current Loss = 356999.45977790066, T = 0.1586
Iteration 300: Current Loss = 355629.6837342499, T = 0.1491
Iteration 400: Current Loss = 355208.9808087066, T = 0.1430
Iteration 500: Current Loss = 354872.3653493756, T = 0.1386
Iteration 600: Current Loss = 354626.9843744992, T = 0.1352
Iteration 700: Current Loss = 354338.29453755857, T = 0.1324
Iteration 800: Current Loss = 354082.1166897993, T = 0.1301
Iteration 900: Current Loss = 353843.8197454273, T = 0.1281
Iteration 1000: Current Loss = 353284.8251587302, T = 0.1264
Optimization complete. Best Loss: 353284.8251587302 | Best Parameters: [1.85241701e+03 4.59213103e-01 8.70267378e+00]
Iteration 100: Current Loss = 361193.86467244773, T = 0.1781
Iteration 200: Current Loss = 359868.59777101025, T = 0.1586
Iteration 300: Current Loss = 359639.28064539604, T = 0.1491
Iteration 400: Current Loss = 359639.28064539604, T = 0.1430
Iteration 500: Current Loss = 359455.73345028673, T = 0.1386
Iteration 600: Current Loss = 359389.697273638, T = 0.1352
Iteration 700: Current Loss = 359365.0974169419, T = 0.1324
Iteration 800: Current Loss = 359101.2484176237, T = 0.1301
Iteration 900: Current Loss = 359101.2484176237, T = 0.1281
Iteration 1000: Current Loss = 358750.3588634316, T = 0.1264
