Iteration 100: Current Loss = 371485.7748311778, T = 0.1781
Iteration 200: Current Loss = 369917.1629788804, T = 0.1586
Iteration 300: Current Loss = 369631.2904424174, T = 0.1491
Iteration 400: Current Loss = 369304.37261950073, T = 0.1430
Iteration 500: Current Loss = 368797.7369448808, T = 0.1386
Iteration 600: Current Loss = 368740.1123095405, T = 0.1352
Iteration 700: Current Loss = 368355.90248428256, T = 0.1324
Iteration 800: Current Loss = 368113.464249194, T = 0.1301
Iteration 900: Current Loss = 367907.0737572491, T = 0.1281
Iteration 1000: Current Loss = 367735.14832289965, T = 0.1264
Optimization complete. Best Loss: 367735.14832289965 | Best Parameters: [1.88877961e+03 1.79841263e-01 3.47515059e+00]
Iteration 100: Current Loss = 371249.90698201716, T = 0.1781
Iteration 200: Current Loss = 368407.5665782219, T = 0.1586
Iteration 300: Current Loss = 368205.89287979796, T = 0.1491
Iteration 400: Current Loss = 367984.73569027235, T = 0.1430
Iteration 500: Current Loss = 367622.57938299596, T = 0.1386
Iteration 600: Current Loss = 367373.9595931354, T = 0.1352
Iteration 700: Current Loss = 367069.97535531485, T = 0.1324
Iteration 800: Current Loss = 366590.8194558944, T = 0.1301
Iteration 900: Current Loss = 365564.7452932717, T = 0.1281
Iteration 1000: Current Loss = 363703.8339471955, T = 0.1264
Optimization complete. Best Loss: 363703.8339471955 | Best Parameters: [1.87811137e+03 5.81735943e-01 8.19421572e+00]
Iteration 100: Current Loss = 369884.56992180995, T = 0.1781
Iteration 200: Current Loss = 366134.8490012077, T = 0.1586
Iteration 300: Current Loss = 363431.2989803234, T = 0.1491
Iteration 400: Current Loss = 363127.9460742177, T = 0.1430
Iteration 500: Current Loss = 360526.9221033919, T = 0.1386
Iteration 600: Current Loss = 358850.95354853454, T = 0.1352
Iteration 700: Current Loss = 358034.30524776044, T = 0.1324
Iteration 800: Current Loss = 356443.38213528506, T = 0.1301
Iteration 900: Current Loss = 355454.27390377456, T = 0.1281
Iteration 1000: Current Loss = 354356.3412438762, T = 0.1264
Optimization complete. Best Loss: 354356.3412438762 | Best Parameters: [1.85564714e+03 4.86139316e-01 9.68048264e+00]
Iteration 100: Current Loss = 368390.0260293664, T = 0.1781
Iteration 200: Current Loss = 364352.04893249285, T = 0.1586
Iteration 300: Current Loss = 360026.66592068155, T = 0.1491
Iteration 400: Current Loss = 359735.154323357, T = 0.1430
Iteration 500: Current Loss = 359524.90135276713, T = 0.1386
Iteration 600: Current Loss = 359360.5820763834, T = 0.1352
Iteration 700: Current Loss = 358784.4161050664, T = 0.1324
Iteration 800: Current Loss = 358540.0811345187, T = 0.1301
Iteration 900: Current Loss = 358244.18924126343, T = 0.1281
Iteration 1000: Current Loss = 358119.4168040659, T = 0.1264
Optimization complete. Best Loss: 358119.4168040659 | Best Parameters: [1.86521002e+03 2.46175078e-01 5.00774541e+00]
